Raiz;Fruto;Tratamento
6,225;59,77;NaoRemocao
6,487;60,98;NaoRemocao
4,919;14,73;NaoRemocao
5,13;19,28;NaoRemocao
5,417;34,25;NaoRemocao
5,359;35,53;NaoRemocao
7,614;87,73;NaoRemocao
6,352;63,21;NaoRemocao
4,975;24,25;NaoRemocao
6,93;64,34;NaoRemocao
6,248;52,92;NaoRemocao
5,451;32,35;NaoRemocao
6,013;53,61;NaoRemocao
5,928;54,86;NaoRemocao
6,264;64,81;NaoRemocao
7,181;73,24;NaoRemocao
7,001;80,64;NaoRemocao
4,426;18,89;NaoRemocao
7,302;75,49;NaoRemocao
5,836;46,73;NaoRemocao
5,253;7,05;Remocao
6,958;38,94;Remocao
8,001;60,77;Remocao
9,039;84,37;Remocao
8,91;70,11;Remocao
6,106;14,95;Remocao
7,691;70,7;Remocao
8,988;80,31;Remocao
8,975;82,35;Remocao
5,844;20,07;Remocao
8,508;73,79;Remocao
7,354;50,08;Remocao
8,643;78,28;Remocao
7,916;41,48;Remocao
6,351;37,47;Remocao
7,066;40,15;Remocao
8,158;52,26;Remocao
7,382;46,64;Remocao
8,515;71,01;Remocao
8,53;83,03;Remocao
